appid,time,count_4xx,cout_404
2,2018-11-25,8838,0
3,2018-11-25,1,0
4,2018-11-25,48,0
6,2018-11-25,1,0
7,2018-11-25,16127,0
8,2018-11-25,1,0
9,2018-11-25,206,0
10,2018-11-25,38121,0
11,2018-11-25,16907,0
14,2018-11-25,1,0
15,2018-11-25,18,0
16,2018-11-25,860,0
17,2018-11-25,2,0
18,2018-11-25,5,0
19,2018-11-25,34,0
20,2018-11-25,2,0
21,2018-11-25,1,0
29,2018-11-25,2,0
36,2018-11-25,20135,0
46,2018-11-25,3871,0
56,2018-11-25,36,0
57,2018-11-25,6,0
59,2018-11-25,5542102,0
66,2018-11-25,355,0
76,2018-11-25,740,0
96,2018-11-25,566,0
106,2018-11-25,23357,0
122,2018-11-25,66491,0
123,2018-11-25,3,0
142,2018-11-25,243,0
222,2018-11-25,70,0
234,2018-11-25,1,0
245,2018-11-25,2,0
256,2018-11-25,1,0
280,2018-11-25,1,0
501,2018-11-25,7,0
502,2018-11-25,1,0
1016,2018-11-25,1,0
4001,2018-11-25,332,0
4002,2018-11-25,490,0
4096,2018-11-25,24,0
4098,2018-11-25,3,0
4099,2018-11-25,41,0
4115,2018-11-25,4,0
6910,2018-11-25,1,0
100202,2018-11-25,1,0
100742,2018-11-25,1,0
200019,2018-11-25,3,0
200492,2018-11-25,17,0
200500,2018-11-25,274,0
200504,2018-11-25,1239,0
200524,2018-11-25,16944040,0
200541,2018-11-25,2,0
200547,2018-11-25,58563,0
200549,2018-11-25,53798345,0
200556,2018-11-25,4611,0
200574,2018-11-25,1556,0
200576,2018-11-25,56,0
200580,2018-11-25,4166167,0
200586,2018-11-25,1,0
200602,2018-11-25,4791,0
200614,2018-11-25,108120,0
200630,2018-11-25,262602,0
200634,2018-11-25,9,0
200648,2018-11-25,9621,0
200650,2018-11-25,55,0
200654,2018-11-25,623,0
200658,2018-11-25,123207,0
200660,2018-11-25,167339,0
200664,2018-11-25,98,0
200686,2018-11-25,3826,0
200690,2018-11-25,39261,0
200692,2018-11-25,319008,0
200694,2018-11-25,618,0
200698,2018-11-25,69394,0
200706,2018-11-25,47,0
200710,2018-11-25,9,0
200716,2018-11-25,10628,0
200742,2018-11-25,3,0
200759,2018-11-25,114,0
200765,2018-11-25,30,0
200769,2018-11-25,7229,0
