appid,time,count_4xx,cout_404
2,2018-11-25 00:00:00,374,0
2,2018-11-25 01:00:00,544,0
2,2018-11-25 02:00:00,190,0
2,2018-11-25 03:00:00,340,0
2,2018-11-25 04:00:00,211,0
2,2018-11-25 05:00:00,120,0
2,2018-11-25 06:00:00,110,0
2,2018-11-25 07:00:00,125,0
2,2018-11-25 08:00:00,141,0
2,2018-11-25 09:00:00,400,0
2,2018-11-25 10:00:00,550,0
2,2018-11-25 11:00:00,721,0
2,2018-11-25 12:00:00,475,0
2,2018-11-25 13:00:00,621,0
2,2018-11-25 14:00:00,437,0
2,2018-11-25 15:00:00,426,0
2,2018-11-25 17:00:00,438,0
2,2018-11-25 18:00:00,175,0
2,2018-11-25 19:00:00,632,0
2,2018-11-25 20:00:00,300,0
2,2018-11-25 21:00:00,439,0
2,2018-11-25 22:00:00,609,0
2,2018-11-25 23:00:00,460,0
3,2018-11-25 09:00:00,1,0
4,2018-11-25 02:00:00,11,0
4,2018-11-25 10:00:00,11,0
4,2018-11-25 17:00:00,15,0
4,2018-11-25 19:00:00,11,0
6,2018-11-25 01:00:00,1,0
7,2018-11-25 00:00:00,989,0
7,2018-11-25 01:00:00,718,0
7,2018-11-25 02:00:00,432,0
7,2018-11-25 03:00:00,371,0
7,2018-11-25 04:00:00,285,0
7,2018-11-25 05:00:00,283,0
7,2018-11-25 06:00:00,312,0
7,2018-11-25 07:00:00,422,0
7,2018-11-25 08:00:00,532,0
7,2018-11-25 09:00:00,725,0
7,2018-11-25 10:00:00,790,0
7,2018-11-25 11:00:00,814,0
7,2018-11-25 12:00:00,813,0
7,2018-11-25 13:00:00,907,0
7,2018-11-25 14:00:00,1048,0
7,2018-11-25 15:00:00,990,0
7,2018-11-25 17:00:00,663,0
7,2018-11-25 18:00:00,714,0
7,2018-11-25 19:00:00,726,0
7,2018-11-25 20:00:00,824,0
7,2018-11-25 21:00:00,867,0
7,2018-11-25 22:00:00,958,0
7,2018-11-25 23:00:00,944,0
8,2018-11-25 21:00:00,1,0
9,2018-11-25 00:00:00,2,0
9,2018-11-25 01:00:00,5,0
9,2018-11-25 03:00:00,3,0
9,2018-11-25 06:00:00,3,0
9,2018-11-25 07:00:00,1,0
9,2018-11-25 08:00:00,9,0
9,2018-11-25 09:00:00,13,0
9,2018-11-25 10:00:00,13,0
9,2018-11-25 11:00:00,9,0
9,2018-11-25 12:00:00,16,0
9,2018-11-25 13:00:00,14,0
9,2018-11-25 14:00:00,21,0
9,2018-11-25 15:00:00,19,0
9,2018-11-25 17:00:00,16,0
9,2018-11-25 18:00:00,11,0
9,2018-11-25 19:00:00,10,0
9,2018-11-25 20:00:00,16,0
9,2018-11-25 21:00:00,7,0
9,2018-11-25 22:00:00,9,0
9,2018-11-25 23:00:00,9,0
10,2018-11-25 00:00:00,1391,0
10,2018-11-25 01:00:00,899,0
