domain,time,count_4xx,cout_404
pic.sogou.com,2018-11-25,366815,89875
news.sogou.com,2018-11-25,245856,0
v.sogou.com,2018-11-25,37004,18603
m.v.sogou.com,2018-11-25,18655,1451
wap.v.sogou.com,2018-11-25,1671,103
img02.store.sogou.com,2018-11-25,13,13
wap.sogou.com,2018-11-25,29519812,2487108
tv.sogou.com,2018-11-25,1218764,4658
kan.sogou.com,2018-11-25,4395387,549
wapv.sogou.com,2018-11-25,34671,4453
m.sogou.com,2018-11-25,34248988,2455774
video.sogou.com,2018-11-25,627,346
www.sogou.com,2018-11-25,19233896,452856
iwan.sogou.com,2018-11-25,29584,1010
xuri.p4p.sogou.com,2018-11-25,28689,70
3g.v.sogou.com,2018-11-25,301,31
img04.store.sogou.com,2018-11-25,17,8
yx.sogou.com,2018-11-25,39253,355
img03.store.sogou.com,2018-11-25,17,6
zhibo.sogou.com,2018-11-25,11112,7
waptv.sogou.com,2018-11-25,645,3
3g.sogou.com,2018-11-25,59815,3909
img01.store.sogou.com,2018-11-25,54,6
123.sogou.com,2018-11-25,1123,17
c.360webcache.com,2018-11-25,4,4
movie.sogou.com,2018-11-25,52,37
map.sogou.com,2018-11-25,238,238
sbs.m.sogou.com,2018-11-25,3289,165
mingyi.sogou.com,2018-11-25,47529,220
wisd.sogou.com,2018-11-25,6333,418
weixin.sogou.com,2018-11-25,154315,85616
zhinan.sogou.com,2018-11-25,39047,18129
ishop.sogou.com,2018-11-25,32853,0
ishopping.sogou.com,2018-11-25,614,0
baike.sogou.com,2018-11-25,4416,309
cmc.imgstore.cdn.sogou.com,2018-11-25,191,0
xz.sogou.com,2018-11-25,2454,0
xiazai.sogou.com,2018-11-25,4662,0
192.168.15.1,2018-11-25,18,0
novel.mse.sogou.com,2018-11-25,134070,134070
k.sogou.com,2018-11-25,512771,488857
light2k.sogou.com,2018-11-25,56166,56166
ds.sogou.com,2018-11-25,8559,8559
mf.k.sogou.com,2018-11-25,17030,17030
m.sogou.com.inner,2018-11-25,6266,284
ot.yuedu.sogou.com,2018-11-25,18,18
sa.sogou.com,2018-11-25,5019,491
as.sogou.com,2018-11-25,315,315
yd.sogou.com,2018-11-25,2359,2359
.sogou.com,2018-11-25,3,2
m.www.sogou.com,2018-11-25,82,7
www.sogou.com.inner,2018-11-25,11458,1031
task.www.sogou.com,2018-11-25,235,8
wbc.epro.sogou.com,2018-11-25,5703,5650
voice.wap.sogou.com,2018-11-25,131,2
ot.wap.sogou.com,2018-11-25,2718,3
wwwtest.sogou.com,2018-11-25,188,7
www.pctowap.com,2018-11-25,1,0
cnc.wap.sogou.com,2018-11-25,615,0
cnc.wap.sogou.com.inner,2018-11-25,9,0
union.sogou.com,2018-11-25,490,490
extention.ie.sogou.com,2018-11-25,72,19
bazinga.mse.sogou.com,2018-11-25,202,3
yze.t.sogou.com,2018-11-25,8,0
english.sogou.com,2018-11-25,28994,0
overseas.sogou.com,2018-11-25,10,0
www.soso.com,2018-11-25,15,0
inte.sogou.com,2018-11-25,391,381
help.sogou.com,2018-11-25,3,0
q.sogou.com,2018-11-25,23,0
snapshot.sogoucdn.com,2018-11-25,508,2
toutiao.sogou.com,2018-11-25,43,0
web.sogou.com,2018-11-25,868,0
www2.sogou.com,2018-11-25,4,0
m.kan.sogou.com,2018-11-25,72730,0
m.haha.sogou.com,2018-11-25,1955,0
haha.sogou.com,2018-11-25,2782,0
imgstore.cdn.sogou.com,2018-11-25,40971,0
wp.mse.sogou.com,2018-11-25,2,0
se.sogou.com,2018-11-25,30,0
img01.sogoucdn.com,2018-11-25,3,0
mse.sogou.com,2018-11-25,14,11
service.epro.sogou.com,2018-11-25,3,0
shouji.sogou.com,2018-11-25,6,4
fanyi.sogou.com,2018-11-25,3,0
appsearch.m.sogou.com,2018-11-25,8,0
zhongyi.sogou.com,2018-11-25,941,719
wx.sogou.com,2018-11-25,84,48
baichuan.epro.sogou.com,2018-11-25,1274,1274
p4p.sogou.com,2018-11-25,3,3
p.sogou.com,2018-11-25,3,0
wuliao.epro.sogou.com,2018-11-25,192344,192344
m.169kang.com,2018-11-25,3140,3140
ufojr.golden1.sogou.com,2018-11-25,1599,1599
qxm.pluto.sogou.com,2018-11-25,1663,1663
bsiet.husky.sogou.com,2018-11-25,1642,1642
oftv.theta.sogou.com,2018-11-25,1567,1567
ejzr.golden1.sogou.com,2018-11-25,1632,1632
ius.mercury.sogou.com,2018-11-25,1606,1606
ipyo.theta.sogou.com,2018-11-25,1626,1626
xtruh.uranus.sogou.com,2018-11-25,1675,1675
yglo.pluto.sogou.com,2018-11-25,1747,1747
vwhi.gou.sogou.com,2018-11-25,1657,1657
amfi.gou.sogou.com,2018-11-25,1608,1608
psfq.gou.sogou.com,2018-11-25,1644,1644
ktivn.uranus.sogou.com,2018-11-25,1682,1682
xlpe.husky.sogou.com,2018-11-25,1636,1636
ytxj.mercury.sogou.com,2018-11-25,1714,1714
rjgw.theta.sogou.com,2018-11-25,1676,1676
jsnp.golden1.sogou.com,2018-11-25,1682,1682
natqs.bealge.sogou.com,2018-11-25,1619,1619
rmoeu.mercury.sogou.com,2018-11-25,1568,1568
pcxzo.pluto.sogou.com,2018-11-25,1664,1663
qhl.bealge.sogou.com,2018-11-25,1683,1683
fych.uranus.sogou.com,2018-11-25,1592,1592
cfeo.bealge.sogou.com,2018-11-25,1627,1627
gxe.husky.sogou.com,2018-11-25,1579,1579
pjyu.golden1.sogou.com,2018-11-25,1632,1632
nxes.mercury.sogou.com,2018-11-25,1632,1632
bfniq.theta.sogou.com,2018-11-25,1687,1687
jti.husky.sogou.com,2018-11-25,1720,1720
osc.uranus.sogou.com,2018-11-25,1660,1660
cjroq.bealge.sogou.com,2018-11-25,1634,1634
m.lu.sogou.com,2018-11-25,155,155
ct.epro.sogou.com,2018-11-25,7,7
mini.cpc.sogou.com,2018-11-25,1,1
a.mobi.sogou.com,2018-11-25,4,4
pinyin.sogou.com,2018-11-25,13463,633
zhihu.sogou.com,2018-11-25,709,0
top.sogou.com,2018-11-25,98,0
preview.news.sogou.com,2018-11-25,3,0
zhuanjia.sogou.com,2018-11-25,110,0
wenwen.sogou.com,2018-11-25,28982,1888
ld.sogou.com,2018-11-25,260,0
taowen.sogou.com,2018-11-25,14,0
mini.wan.sogou.com,2018-11-25,2,2
wan.sogou.com,2018-11-25,42,42
www-washingtonpost-com.cache.sogou.com,2018-11-25,288,0
www-digitaltrends-com.cache.sogou.com,2018-11-25,12,0
www-yahoo-com.cache.sogou.com,2018-11-25,49,0
www-dailymail-co-uk.cache.sogou.com,2018-11-25,29,0
idol001-com.cache.sogou.com,2018-11-25,3528,0
m-jiakaobaodian-com.cache.sogou.com,2018-11-25,2644,0
www-marketwatch-com.cache.sogou.com,2018-11-25,5,0
genius-com.cache.sogou.com,2018-11-25,285,0
www-buzzfeed-com.cache.sogou.com,2018-11-25,235,0
www-nydailynews-com.cache.sogou.com,2018-11-25,8,0
mashable-com.cache.sogou.com,2018-11-25,8,0
xw-qq-com.cache.sogou.com,2018-11-25,16,0
www-androidauthority-com.cache.sogou.com,2018-11-25,16,0
m-idol001-com.cache.sogou.com,2018-11-25,17,0
www-hollywoodreporter-com.cache.sogou.com,2018-11-25,4,0
www-theverge-com.cache.sogou.com,2018-11-25,2,0
www-mirror-co-uk.cache.sogou.com,2018-11-25,8,0
www-livestrong-com.cache.sogou.com,2018-11-25,1,0
www-ldoceonline-com.cache.sogou.com,2018-11-25,2,0
www-forbes-com.cache.sogou.com,2018-11-25,34,0
amp-theguardian-com.cache.sogou.com,2018-11-25,5,0
seekingalpha-com.cache.sogou.com,2018-11-25,1,0
www-cnet-com.cache.sogou.com,2018-11-25,1,0
www-cbsnews-com.cache.sogou.com,2018-11-25,1,0
www-inc-com.cache.sogou.com,2018-11-25,1,0
www-computerworld-com.cache.sogou.com,2018-11-25,1,0
www-pbs-org.cache.sogou.com,2018-11-25,5,0
www-zillow-com.cache.sogou.com,2018-11-25,1,0
www-fonearena-com.cache.sogou.com,2018-11-25,3,0
www-telegraph-co-uk.cache.sogou.com,2018-11-25,2,0
www-wired-com.cache.sogou.com,2018-11-25,13,0
www-medicalnewstoday-com.cache.sogou.com,2018-11-25,1,0
www-express-co-uk.cache.sogou.com,2018-11-25,2,0
www-foxnews-com.cache.sogou.com,2018-11-25,1,0
ting2k.sogou.com,2018-11-25,11,11
shipin.sogou.com,2018-11-25,46,21
spread.shida.sogou.com,2018-11-25,123,0
live.sogou.com,2018-11-25,7,0
image.so.com,2018-11-25,8,4
ht.www.sogou.com,2018-11-25,7,0
fuwu.wap.sogou.com,2018-11-25,7,0
img.store.sogou.com,2018-11-25,1871,0
aps2k.sogou.com,2018-11-25,1946,1946
ydwx.sogou.com,2018-11-25,554,554
yuedu.sogou.com,2018-11-25,50,50
dd.sogou.com,2018-11-25,4,4
imgstore03.cdn.sogou.com,2018-11-25,63084,1
imgstore04.cdn.sogou.com,2018-11-25,14487,9
imgstore02.cdn.sogou.com,2018-11-25,17243,1
imgstore01.cdn.sogou.com,2018-11-25,26556,23
static.51y5.net,2018-11-25,10,0
leapp:,2018-11-25,4,0
image.sogou.com,2018-11-25,3,0
mbd.baidu.com,2018-11-25,1,0
wap.gouwu.sogou.com,2018-11-25,3,0
gouwu.sogou.com,2018-11-25,72356,0
zhushou.gouwu.sogou.com,2018-11-25,6499,0
merchant.sogou.com,2018-11-25,362,0
st.so.com,2018-11-25,29,0
image.baidu.com,2018-11-25,1243,0
sogou.com,2018-11-25,1093,19
data.zhushou.sogou.com,2018-11-25,37719,37719
zhushou.sogou.com,2018-11-25,2372,2372
tuan.sogou.com,2018-11-25,1480,0
123.mse.sogou.com,2018-11-25,132,14
old.kan.sogou.com,2018-11-25,390,0
tianqi.sogou.com,2018-11-25,3,0
fa.sogou.com,2018-11-25,3,0
sns.qzone.qq.com,2018-11-25,5,0
mai.sogou.com,2018-11-25,268,0
api.tuan.sogou.com,2018-11-25,42,0
page.mobi.sogou.com,2018-11-25,1114,1028
style.page.mobi.sogou.com,2018-11-25,49,49
m.sogou.com-9f6081abb0cc2389961294a.baid.xyz,2018-11-25,1,1
feed.theta.sogou.com,2018-11-25,9,3
m.baidu.com,2018-11-25,32,0
readmodel.m.sogou.com,2018-11-25,1284622,0
cache.sogou.com,2018-11-25,50904,0
gzh.sogou.com,2018-11-25,17,1
m5.baidu.com,2018-11-25,31,0
www.baidu.com,2018-11-25,5,0
translate.googleusercontent.com,2018-11-25,1,1
10.140.49.54,2018-11-25,1,0
huodong.sogou.com,2018-11-25,2,2
tw.images.search.yahoo.com,2018-11-25,1,0
mobile.zhushou.sogou.com,2018-11-25,34,28
bizhi.sogou.com,2018-11-25,293,0
xm1.bizhi828.com:88http:,2018-11-25,15,0
app.zhushou.sogou.com,2018-11-25,1825,1822
shouyou.sogou.com,2018-11-25,15,15
g.sogou.com,2018-11-25,161,161
app.mse.sogou.com,2018-11-25,4,4
input.theta.sogou.com,2018-11-25,1,1
