domain,time,count_4xx,cout_404
pic.sogou.com,2018-11-25 00:00:00,13007,3639
pic.sogou.com,2018-11-25 01:00:00,11429,2119
pic.sogou.com,2018-11-25 02:00:00,9786,1367
pic.sogou.com,2018-11-25 03:00:00,8006,730
pic.sogou.com,2018-11-25 04:00:00,7038,605
pic.sogou.com,2018-11-25 05:00:00,6745,779
pic.sogou.com,2018-11-25 06:00:00,9579,1327
pic.sogou.com,2018-11-25 07:00:00,14009,2646
pic.sogou.com,2018-11-25 08:00:00,13550,3365
pic.sogou.com,2018-11-25 09:00:00,16602,4170
pic.sogou.com,2018-11-25 10:00:00,19722,4582
pic.sogou.com,2018-11-25 11:00:00,18348,5039
pic.sogou.com,2018-11-25 12:00:00,17778,5091
pic.sogou.com,2018-11-25 13:00:00,18890,5113
pic.sogou.com,2018-11-25 14:00:00,23068,5745
pic.sogou.com,2018-11-25 15:00:00,20750,5149
pic.sogou.com,2018-11-25 17:00:00,19950,4821
pic.sogou.com,2018-11-25 18:00:00,21650,4857
pic.sogou.com,2018-11-25 19:00:00,20161,5669
pic.sogou.com,2018-11-25 20:00:00,19807,5911
pic.sogou.com,2018-11-25 21:00:00,21026,6375
pic.sogou.com,2018-11-25 22:00:00,20547,6244
pic.sogou.com,2018-11-25 23:00:00,15367,4532
news.sogou.com,2018-11-25 02:00:00,5160,0
news.sogou.com,2018-11-25 10:00:00,12370,0
news.sogou.com,2018-11-25 17:00:00,12548,0
news.sogou.com,2018-11-25 19:00:00,14102,0
news.sogou.com,2018-11-25 00:00:00,9499,0
news.sogou.com,2018-11-25 01:00:00,6602,0
news.sogou.com,2018-11-25 03:00:00,4171,0
news.sogou.com,2018-11-25 04:00:00,4344,0
news.sogou.com,2018-11-25 05:00:00,4746,0
news.sogou.com,2018-11-25 06:00:00,6633,0
news.sogou.com,2018-11-25 07:00:00,9368,0
news.sogou.com,2018-11-25 08:00:00,10689,0
news.sogou.com,2018-11-25 09:00:00,11899,0
news.sogou.com,2018-11-25 11:00:00,12668,0
